model_name,gpu_name,dtype,batch_size,seq_len,actual_tokens,latency_ms,latency_mean_ms,latency_std_ms,tokens_per_sec,sequences_per_sec,max_memory_allocated_gb,warmup,iters,oom,notes
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,1,128,130,20.1687,20.6631,1.3377,6445.63,49.582,1.2277,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,2,128,260,19.6004,19.6317,0.252,13265.05,102.039,1.233,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,4,128,520,25.004,24.9792,0.1945,20796.7,159.975,1.2463,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,8,128,1040,49.2293,48.9102,0.8629,21125.62,162.505,1.2702,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,16,128,2080,98.0992,97.9374,1.2077,21203.03,163.1,1.3198,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,1,256,258,19.9639,19.9988,0.2449,12923.32,50.09,1.233,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,2,256,516,25.4822,25.3881,0.2015,20249.4,78.486,1.2462,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,4,256,1032,49.1546,48.912,0.7917,20995.0,81.376,1.2699,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,8,256,2064,97.898,97.8953,1.3711,21083.17,81.718,1.3191,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,16,256,4128,226.0347,226.1345,1.2638,18262.68,70.786,1.4176,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,1,512,514,25.2155,25.2923,0.2381,20384.3,39.658,1.2462,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,2,512,1028,49.0639,48.9739,0.3993,20952.25,40.763,1.2698,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,4,512,2056,99.2251,98.8014,1.134,20720.57,40.312,1.3188,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,8,512,4112,227.7801,227.8854,0.7931,18052.5,35.122,1.4169,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,16,512,8224,514.731,514.7113,0.8658,15977.28,31.084,1.613,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,1,1022,1024,46.4604,46.386,0.2748,22040.27,21.524,1.2697,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,2,1022,2048,101.3719,101.5095,0.4448,20202.84,19.729,1.3185,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,4,1022,4096,227.6557,227.6959,1.0026,17992.08,17.57,1.4162,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,8,1022,8192,518.636,518.6399,1.4399,15795.28,15.425,1.6116,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,bf16,16,1022,16384,1066.4642,1066.7469,0.9528,15362.92,15.003,2.0023,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,1,128,130,20.1267,20.3018,0.3172,6459.08,49.685,1.2277,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,2,128,260,20.9915,21.0686,0.7835,12385.97,95.277,1.233,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,4,128,520,26.6522,26.641,0.3172,19510.61,150.082,1.2463,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,8,128,1040,51.5415,51.1174,0.9889,20177.91,155.215,1.2702,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,16,128,2080,101.4769,102.3825,2.5086,20497.28,157.671,1.3198,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,1,256,258,20.2711,20.346,0.4554,12727.48,49.331,1.233,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,2,256,516,28.0335,28.0166,0.5576,18406.53,71.343,1.2462,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,4,256,1032,51.0874,51.1095,1.1856,20200.69,78.297,1.2699,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,8,256,2064,101.7318,102.4427,2.0463,20288.63,78.638,1.3191,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,16,256,4128,231.7363,231.7745,0.4506,17813.35,69.044,1.4176,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,1,512,514,27.2174,27.1037,0.5848,18884.97,36.741,1.2462,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,2,512,1028,51.2558,51.2555,0.4636,20056.26,39.02,1.2698,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,4,512,2056,103.4424,103.4591,1.4976,19875.79,38.669,1.3188,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,8,512,4112,234.0045,233.8538,0.5706,17572.31,34.187,1.4169,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,16,512,8224,530.0173,529.3435,2.3059,15516.48,30.188,1.613,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,1,1022,1024,47.8915,47.9501,0.3825,21381.68,20.881,1.2697,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,2,1022,2048,106.412,106.7761,1.6578,19245.95,18.795,1.3185,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,4,1022,4096,235.2666,234.6309,1.5733,17410.04,17.002,1.4162,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,8,1022,8192,533.844,533.4991,2.4306,15345.31,14.986,1.6116,3,10,False,
facebook/esm2_t33_650M_UR50D,NVIDIA L4,fp16,16,1022,16384,1097.4495,1097.6571,1.3437,14929.16,14.579,2.0023,3,10,False,
